SpecialDelivery9am,0.1,11.35
SpecialDelivery9am,0.5,13.10
SpecialDelivery9am,1,15.20
SpecialDelivery9am,2,18.80
SpecialDeliveryNextDay,0.1,5.05
SpecialDeliveryNextDay,0.5,5.50
SpecialDeliveryNextDay,1,6.70
SpecialDeliveryNextDay,2,8.65
SpecialDeliveryNextDay,10,21.65
FirstClass,0.1,1.39
FirstClass,0.25,1.72
FirstClass,0.5,2.24
FirstClass,0.75,2.75
FirstClass,1,3.35
FirstClass,1.25,4.50
FirstClass,1.5,5.20
FirstClass,1.75,5.90
FirstClass,2,6.60
FirstClass,4,8.22
SecondClass,0.1,1.17
SecondClass,0.25,1.51
SecondClass,0.5,1.95
SecondClass,0.75,2.36
SecondClass,1,2.84
StandardParcel,2,4.41
StandardParcel,4,7.06
StandardParcel,6,9.58
StandardParcel,8,11.74
StandardParcel,10,12.61
StandardParcel,20,14.69
InternationalAirmailPackets,0.01,1.82
InternationalAirmailPackets,0.02,1.82
InternationalAirmailPackets,0.04,1.82
InternationalAirmailPackets,0.06,1.82
InternationalAirmailPackets,0.08,1.82
InternationalAirmailPackets,0.1,1.82
InternationalAirmailPackets,0.12,2.10
InternationalAirmailPackets,0.14,2.38
InternationalAirmailPackets,0.16,2.65
InternationalAirmailPackets,0.18,2.93
InternationalAirmailPackets,0.2,3.20
InternationalAirmailPackets,0.22,3.46
InternationalAirmailPackets,0.24,3.71
InternationalAirmailPackets,0.26,3.96
InternationalAirmailPackets,0.28,4.22
InternationalAirmailPackets,0.3,4.47
InternationalAirmailPackets,0.32,4.71
InternationalAirmailPackets,0.34,4.95
InternationalAirmailPackets,0.36,5.19
InternationalAirmailPackets,0.38,5.43
InternationalAirmailPackets,0.4,5.67
InternationalAirmailPackets,0.42,5.91
InternationalAirmailPackets,0.44,6.15
InternationalAirmailPackets,0.46,6.39
InternationalAirmailPackets,0.48,6.63
InternationalAirmailPackets,0.5,6.87
InternationalAirmailPackets,0.52,7.09
InternationalAirmailPackets,0.54,7.31
InternationalAirmailPackets,0.56,7.53
InternationalAirmailPackets,0.58,7.75
InternationalAirmailPackets,0.6,7.97
InternationalAirmailPackets,0.62,8.19
InternationalAirmailPackets,0.64,8.41
InternationalAirmailPackets,0.66,8.63
InternationalAirmailPackets,0.68,8.85
InternationalAirmailPackets,0.7,9.07
InternationalAirmailPackets,0.72,9.29
InternationalAirmailPackets,0.74,9.51
InternationalAirmailPackets,0.76,9.73
InternationalAirmailPackets,0.78,9.95
InternationalAirmailPackets,0.8,10.17
InternationalAirmailPackets,0.82,10.39
InternationalAirmailPackets,0.84,10.61
InternationalAirmailPackets,0.86,10.83
InternationalAirmailPackets,0.88,11.05
InternationalAirmailPackets,0.9,11.27
InternationalAirmailPackets,0.92,11.49
InternationalAirmailPackets,0.94,11.71
InternationalAirmailPackets,0.96,11.93
InternationalAirmailPackets,0.98,12.15
InternationalAirmailPackets,1,12.37
InternationalAirmailPackets,1.02,12.59
InternationalAirmailPackets,1.04,12.81
InternationalAirmailPackets,1.06,13.03
InternationalAirmailPackets,1.08,13.25
InternationalAirmailPackets,1.1,13.47
InternationalAirmailPackets,1.12,13.69
InternationalAirmailPackets,1.14,13.91
InternationalAirmailPackets,1.16,14.13
InternationalAirmailPackets,1.18,14.35
InternationalAirmailPackets,1.2,14.57
InternationalAirmailPackets,1.22,14.79
InternationalAirmailPackets,1.24,15.01
InternationalAirmailPackets,1.26,15.23
InternationalAirmailPackets,1.28,15.45
InternationalAirmailPackets,1.3,15.67
InternationalAirmailPackets,1.32,15.89
InternationalAirmailPackets,1.34,16.11
InternationalAirmailPackets,1.36,16.33
InternationalAirmailPackets,1.38,16.55
InternationalAirmailPackets,1.4,16.77
InternationalAirmailPackets,1.42,16.99
InternationalAirmailPackets,1.44,17.21
InternationalAirmailPackets,1.46,17.43
InternationalAirmailPackets,1.48,17.65
InternationalAirmailPackets,1.5,17.87
InternationalAirmailPackets,1.52,18.09
InternationalAirmailPackets,1.54,18.31
InternationalAirmailPackets,1.56,18.53
InternationalAirmailPackets,1.58,18.75
InternationalAirmailPackets,1.6,18.97
InternationalAirmailPackets,1.62,19.19
InternationalAirmailPackets,1.64,19.41
InternationalAirmailPackets,1.66,19.63
InternationalAirmailPackets,1.68,19.85
InternationalAirmailPackets,1.7,20.07
InternationalAirmailPackets,1.72,20.29
InternationalAirmailPackets,1.74,20.51
InternationalAirmailPackets,1.76,20.73
InternationalAirmailPackets,1.78,20.95
InternationalAirmailPackets,1.8,21.17
InternationalAirmailPackets,1.82,21.39
InternationalAirmailPackets,1.84,21.61
InternationalAirmailPackets,1.86,21.83
InternationalAirmailPackets,1.88,22.05
InternationalAirmailPackets,1.9,22.27
InternationalAirmailPackets,1.92,22.49
InternationalAirmailPackets,1.94,22.71
InternationalAirmailPackets,1.96,22.93
InternationalAirmailPackets,1.98,23.15
InternationalAirmailPackets,2,23.37
InternationalSurfaceSmallPackets,0.02,99
InternationalSurfaceSmallPackets,0.06,99
InternationalSurfaceSmallPackets,0.1,99
InternationalSurfaceSmallPackets,0.15,1.32
InternationalSurfaceSmallPackets,0.2,1.66
InternationalSurfaceSmallPackets,0.25,2.00
InternationalSurfaceSmallPackets,0.3,2.32
InternationalSurfaceSmallPackets,0.35,2.65
InternationalSurfaceSmallPackets,0.4,3.00
InternationalSurfaceSmallPackets,0.45,3.33
InternationalSurfaceSmallPackets,0.5,3.65
InternationalSurfaceSmallPackets,0.55,3.99
InternationalSurfaceSmallPackets,0.6,4.33
InternationalSurfaceSmallPackets,0.65,4.65
InternationalSurfaceSmallPackets,0.7,4.99
InternationalSurfaceSmallPackets,0.75,5.32
InternationalSurfaceSmallPackets,0.8,5.66
InternationalSurfaceSmallPackets,0.85,5.98
InternationalSurfaceSmallPackets,0.9,6.32
InternationalSurfaceSmallPackets,0.95,6.66
InternationalSurfaceSmallPackets,1,6.98
InternationalSurfaceSmallPackets,1.05,7.32
InternationalSurfaceSmallPackets,1.1,7.65
InternationalSurfaceSmallPackets,1.15,7.98
InternationalSurfaceSmallPackets,1.2,8.32
InternationalSurfaceSmallPackets,1.25,8.65
InternationalSurfaceSmallPackets,1.3,8.98
InternationalSurfaceSmallPackets,1.35,9.31
InternationalSurfaceSmallPackets,1.4,9.65
InternationalSurfaceSmallPackets,1.45,9.98
InternationalSurfaceSmallPackets,1.5,10.31
InternationalSurfaceSmallPackets,1.55,10.65
InternationalSurfaceSmallPackets,1.6,10.98
InternationalSurfaceSmallPackets,1.65,11.26
InternationalSurfaceSmallPackets,1.7,11.54
InternationalSurfaceSmallPackets,1.75,11.82
InternationalSurfaceSmallPackets,1.8,12.10
InternationalSurfaceSmallPackets,1.85,12.38
InternationalSurfaceSmallPackets,1.9,12.66
InternationalSurfaceSmallPackets,1.95,12.94
InternationalSurfaceSmallPackets,2,13.22
